id,name,gender,birth_country,total_country_wins,award_year,category,age_at_award
996,Robert B. Wilson,male,USA,298,2020,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,83
231,Robert Burns Woodward,male,USA,298,1965,The Nobel Prize in Chemistry,48
308,Robert Bárány,male,Austria,15,1914,The Nobel Prize in Physiology or Medicine,38
717,Robert C. Merton,male,USA,298,1997,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,53
151,Robert C. Richardson,male,USA,298,1996,The Nobel Prize in Physics,59
502,"Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood",male,United Kingdom,94,1937,The Nobel Peace Prize,73
714,Robert E. Lucas Jr.,male,USA,298,1995,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,58
284,Robert F. Curl Jr.,male,USA,298,1996,The Nobel Prize in Chemistry,63
771,Robert F. Engle III,male,USA,298,2003,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,61
458,Robert F. Furchgott,male,USA,298,1998,The Nobel Prize in Physiology or Medicine,82
848,Robert G. Edwards,male,United Kingdom,94,2010,The Nobel Prize in Physiology or Medicine,85
795,Robert H. Grubbs,male,USA,298,2005,The Nobel Prize in Chemistry,63
75,Robert Hofstadter,male,USA,298,1961,The Nobel Prize in Physics,46
271,Robert Huber,male,Germany,78,1988,The Nobel Prize in Chemistry,51
799,Robert J. Aumann,male,Germany,78,2005,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,75
878,Robert J. Lefkowitz,male,USA,298,2012,The Nobel Prize in Chemistry,69
896,Robert J. Shiller,male,USA,298,2013,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,67
297,Robert Koch,male,Germany,78,1905,The Nobel Prize in Physiology or Medicine,62
701,Robert M. Solow,male,USA,298,1987,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,63
720,Robert A. Mundell,male,Canada,22,1999,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,67
232,Robert S. Mulliken,male,USA,298,1966,The Nobel Prize in Chemistry,70
96,John Robert Schrieffer,male,USA,298,1972,The Nobel Prize in Physics,41
709,Robert W. Fogel,male,USA,298,1993,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,66
388,Robert W. Holley,male,USA,298,1968,The Nobel Prize in Physiology or Medicine,46
112,Robert Woodrow Wilson,male,USA,298,1978,The Nobel Prize in Physics,42
770,Roderick MacKinnon,male,USA,298,2003,The Nobel Prize in Chemistry,47
399,Rodney R. Porter,male,United Kingdom,94,1972,The Nobel Prize in Physiology or Medicine,55
822,Roger B. Myerson,male,USA,298,2007,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,56
806,Roger D. Kornberg,male,USA,298,2006,The Nobel Prize in Chemistry,59
411,Roger Guillemin,male,France,60,1977,The Nobel Prize in Physiology or Medicine,53
609,Roger Martin du Gard,male,France,60,1937,The Nobel Prize in Literature,56
988,Roger Penrose,male,United Kingdom,94,2020,The Nobel Prize in Physics,89
422,Roger W. Sperry,male,USA,298,1981,The Nobel Prize in Physiology or Medicine,68
831,Roger Y. Tsien,male,USA,298,2008,The Nobel Prize in Chemistry,56
456,Rolf M. Zinkernagel,male,Switzerland,19,1996,The Nobel Prize in Physiology or Medicine,52
584,Romain Rolland,male,France,60,1915,The Nobel Prize in Literature,49
234,Ronald George Wreyford Norrish,male,United Kingdom,94,1967,The Nobel Prize in Chemistry,70
707,Ronald H. Coase,male,United Kingdom,94,1991,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,81
294,Ronald Ross,male,India,10,1902,The Nobel Prize in Physiology or Medicine,45
413,Rosalyn Yalow,female,USA,298,1977,The Nobel Prize in Physiology or Medicine,56
791,Roy J. Glauber,male,USA,298,2005,The Nobel Prize in Physics,80
578,Rudolf Christoph Eucken,male,East Friesland,1,1908,The Nobel Prize in Literature,62
76,Rudolf Ludwig Mössbauer,male,Germany,78,1961,The Nobel Prize in Physics,32
277,Rudolph A. Marcus,male,Canada,22,1992,The Nobel Prize in Chemistry,69
577,Rudyard Kipling,male,British India,2,1907,The Nobel Prize in Literature,42
143,Russell A. Hulse,male,USA,298,1993,The Nobel Prize in Physics,43
742,Ryoji Noyori,male,Japan,27,2001,The Nobel Prize in Chemistry,63
631,Saint-John Perse,male,"Guadeloupe, France",1,1960,The Nobel Prize in Literature,73
393,Salvador E. Luria,male,Italy,18,1969,The Nobel Prize in Physiology or Medicine,57
630,Salvatore Quasimodo,male,Italy,18,1959,The Nobel Prize in Literature,58
643,Samuel Beckett,male,Ireland,5,1969,The Nobel Prize in Literature,63
106,Samuel Chao Chung Ting,male,USA,298,1976,The Nobel Prize in Physics,40
299,Santiago Ramón y Cajal,male,Spain,7,1906,The Nobel Prize in Physiology or Medicine,54
917,Satoshi Ōmura,male,Japan,27,2015,The Nobel Prize in Physiology or Medicine,80
652,Saul Bellow,male,Canada,22,1976,The Nobel Prize in Literature,61
864,Saul Perlmutter,male,USA,298,2011,The Nobel Prize in Physics,52
672,Seamus Heaney,male,Northern Ireland,5,1995,The Nobel Prize in Literature,56
532,Seán MacBride,male,France,60,1974,The Nobel Peace Prize,70
579,Selma Ottilia Lovisa Lagerlöf,female,Sweden,30,1909,The Nobel Prize in Literature,51
353,Selman Abraham Waksman,male,Russian Empire,16,1952,The Nobel Prize in Physiology or Medicine,64
876,Serge Haroche,male,Morocco,1,2012,The Nobel Prize in Physics,68
367,Severo Ochoa,male,Spain,7,1959,The Nobel Prize in Physiology or Medicine,54
113,Sheldon Lee Glashow,male,USA,298,1979,The Nobel Prize in Physics,47
558,Shimon Peres,male,Poland,8,1994,The Nobel Peace Prize,71
1049,Shimon Sakaguchi,male,Japan,27,2025,The Nobel Prize in Physiology or Medicine,74
875,Shinya Yamanaka,male,Japan,27,2012,The Nobel Prize in Physiology or Medicine,50
773,Shirin Ebadi,female,Iran,2,2003,The Nobel Peace Prize,56
639,Shmuel Yosef Agnon,male,Austria-Hungary,13,1966,The Nobel Prize in Literature,78
908,Shuji Nakamura,male,Japan,27,2014,The Nobel Prize in Physics,60
273,Sidney Altman,male,Canada,22,1989,The Nobel Prize in Chemistry,50
601,Sigrid Undset,female,Denmark,12,1928,The Nobel Prize in Literature,46
1045,Simon Henry Roberts Johnson,male,United Kingdom,94,2024,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,61
680,Simon Kuznets,male,Russian Empire,16,1971,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,70
125,Simon van der Meer,male,the Netherlands,20,1984,The Nobel Prize in Physics,59
84,Sin-Itiro Tomonaga,male,Japan,27,1965,The Nobel Prize in Physics,59
603,Sinclair Lewis,male,USA,298,1930,The Nobel Prize in Literature,45
339,Sir Alexander Fleming,male,Scotland,11,1945,The Nobel Prize in Physiology or Medicine,64
693,Sir Arthur Lewis,male,British West Indies,1,1979,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,64
488,Sir Austen Chamberlain,male,United Kingdom,94,1925,The Nobel Peace Prize,62
394,Sir Bernard Katz,male,Germany,78,1970,The Nobel Prize in Physiology or Medicine,59
37,Sir Chandrasekhara Venkata Raman,male,India,10,1930,The Nobel Prize in Physics,42
323,Sir Charles Scott Sherrington,male,United Kingdom,94,1932,The Nobel Prize in Physiology or Medicine,75
219,Sir Cyril Norman Hinshelwood,male,United Kingdom,94,1956,The Nobel Prize in Chemistry,59
369,Sir Frank Macfarlane Burnet,male,Australia,10,1960,The Nobel Prize in Physiology or Medicine,61
320,Sir Frederick Gowland Hopkins,male,United Kingdom,94,1929,The Nobel Prize in Physiology or Medicine,68
965,Sir Gregory P. Winter,male,United Kingdom,94,2018,The Nobel Prize in Chemistry,67
285,Sir Harold W. Kroto,male,United Kingdom,94,1996,The Nobel Prize in Chemistry,57
330,Sir Henry Hallett Dale,male,United Kingdom,94,1936,The Nobel Prize in Physiology or Medicine,61
341,Sir Howard Walter Florey,male,Australia,10,1945,The Nobel Prize in Physiology or Medicine,47
932,Sir J. Fraser Stoddart,male,United Kingdom,94,2016,The Nobel Prize in Chemistry,74
437,Sir James W. Black,male,Scotland,11,1988,The Nobel Prize in Physiology or Medicine,64
874,Sir John B. Gurdon,male,United Kingdom,94,2012,The Nobel Prize in Physiology or Medicine,79
375,Sir John Carew Eccles,male,Australia,10,1963,The Nobel Prize in Physiology or Medicine,60
812,Sir Martin J. Evans,male,United Kingdom,94,2007,The Nobel Prize in Physiology or Medicine,66
108,Sir Nevill Francis Mott,male,United Kingdom,94,1977,The Nobel Prize in Physics,72
498,Sir Norman Angell (Ralph Lane),male,United Kingdom,94,1933,The Nobel Peace Prize,61
737,Sir Paul M. Nurse,male,United Kingdom,94,2001,The Nobel Prize in Physiology or Medicine,52
971,Sir Peter J. Ratcliffe,male,United Kingdom,94,2019,The Nobel Prize in Physiology or Medicine,65
765,Sir Peter Mansfield,male,United Kingdom,94,2003,The Nobel Prize in Physiology or Medicine,70
207,Sir Robert Robinson,male,United Kingdom,94,1947,The Nobel Prize in Chemistry,61
163,Sir William Ramsay,male,Scotland,11,1904,The Nobel Prize in Chemistry,52
242,Stanford Moore,male,USA,298,1972,The Nobel Prize in Chemistry,59
457,Stanley B. Prusiner,male,USA,298,1997,The Nobel Prize in Physiology or Medicine,55
434,Stanley Cohen,male,USA,298,1986,The Nobel Prize in Physiology or Medicine,64
910,Stefan W. Hell,male,Romania,4,2014,The Nobel Prize in Chemistry,52
152,Steven Chu,male,USA,298,1997,The Nobel Prize in Physics,49
115,Steven Weinberg,male,USA,298,1979,The Nobel Prize in Physics,46
122,Subrahmanyan Chandrasekhar,male,India,10,1983,The Nobel Prize in Physics,73
569,Sully Prudhomme,male,France,60,1901,The Nobel Prize in Literature,62
425,Sune K. Bergström,male,Sweden,30,1982,The Nobel Prize in Physiology or Medicine,66
1053,Susumu Kitagawa,male,Japan,27,2025,The Nobel Prize in Chemistry,74
436,Susumu Tonegawa,male,Japan,27,1987,The Nobel Prize in Physiology or Medicine,48
162,Svante August Arrhenius,male,Sweden,30,1903,The Nobel Prize in Chemistry,44
1011,Svante Pääbo,male,Sweden,30,2022,The Nobel Prize in Physiology or Medicine,67
924,Svetlana Alexievich,female,Ukraine,1,2015,The Nobel Prize in Literature,67
750,Sydney Brenner,male,South Africa,9,2002,The Nobel Prize in Physiology or Medicine,75
999,Syukuro Manabe,male,Japan,27,2021,The Nobel Prize in Physics,90
619,Thomas Stearns Eliot,male,USA,298,1948,The Nobel Prize in Literature,60
350,Tadeus Reichstein,male,Poland,8,1950,The Nobel Prize in Physiology or Medicine,53
919,Takaaki Kajita,male,Japan,27,2015,The Nobel Prize in Physics,56
959,Tasuku Honjo,male,Japan,27,2018,The Nobel Prize in Physiology or Medicine,76
871,Tawakkol Karman,female,Yemen,1,2011,The Nobel Peace Prize,32
551,The 14th Dalai Lama (Tenzin Gyatso),male,Tibet,1,1989,The Nobel Peace Prize,54
183,The (Theodor) Svedberg,male,Sweden,30,1926,The Nobel Prize in Chemistry,42
303,Emil Theodor Kocher,male,Switzerland,19,1909,The Nobel Prize in Physiology or Medicine,68
571,Christian Matthias Theodor Mommsen,male,Schleswig,2,1902,The Nobel Prize in Literature,85
793,Theodor W. Hänsch,male,Germany,78,2005,The Nobel Prize in Physics,64
